Year,City,Population,In-migration,Out-migration,Net-migration
2017,KONYA,2180149,53007,56594,-3587
2017,KUTAHYA,572256,17172,20393,-3221
2017,MALATYA,786676,27523,28222,-699
2017,MANISA,1413041,40257,36021,4236
2017,KAHRAMANMARAS,1127623,26874,30314,-3440
2017,MARDIN,809719,28303,30782,-2479
2017,MUGLA,938751,42450,33289,9161
2017,MUS,404544,13094,22243,-9149
2017,NEVSEHIR,292365,11006,12076,-1070
2017,NIGDE,352727,13948,15667,-1719
2017,ORDU,742341,28111,40305,-12194
2017,RIZE,331041,14561,16310,-1749
2017,SAKARYA,990214,35575,28122,7453
2017,SAMSUN,1312990,43709,42422,1287
2017,SIIRT,324394,12163,15406,-3243
2017,SINOP,207427,11015,10086,929
2017,SIVAS,621301,22147,28697,-6550
2017,TEKIRDAG,1005463,55391,34658,20733
2017,TOKAT,602086,34735,38746,-4011
2017,TRABZON,786326,29703,29192,511
2017,TUNCELI,82498,6074,6725,-651
2017,SANLIURFA,1985753,40058,52648,-12590
2017,USAK,364971,13909,10420,3489
2017,VAN,1106891,31971,48269,-16298
2017,YOZGAT,418650,19074,23498,-4424
2017,ZONGULDAK,596892,19421,22541,-3120
2017,AKSARAY,402404,14139,13799,340
2017,BAYBURT,80417,5648,15820,-10172
2017,KARAMAN,246672,8581,10340,-1759
2017,KIRIKKALE,278749,13434,14112,-678
2017,BATMAN,585252,19889,22323,-2434
2017,SIRNAK,503236,19672,15186,4486
2017,BARTIN,193577,8759,8144,615
2017,ARDAHAN,97096,5284,7154,-1870
2017,IGDIR,194775,7775,9728,-1953
2017,YALOVA,251203,15754,10719,5035
2017,KARABUK,244453,14740,14399,341
2017,KILIS,136319,6675,6526,149
2017,OSMANIYE,527724,18842,19008,-166
2017,DUZCE,377610,15023,11387,3636
2016,ADANA,2201670,51466,60759,-9293
2016,ADIYAMAN,610484,18789,21201,-2412
2016,AFYONKARAHISAR,714523,22467,24400,-1933
2016,AGRI,542255,14306,30811,-16505
2016,AMASYA,326351,15395,13609,1786
2016,ANKARA,5346518,177166,159915,17251
2016,ANTALYA,2328555,79203,73119,6084
2016,ARTVIN,168068,8240,9283,-1043
2016,AYDIN,1068260,40363,33119,7244
2016,BALIKESIR,1196176,43475,38566,4909
2016,BILECIK,218297,11031,9911,1120
2016,BINGOL,269560,10304,11205,-901
2016,BITLIS,341225,12571,18074,-5503
2016,BOLU,299896,18528,11762,6766
2016,BURDUR,261401,12337,11059,1278
2016,BURSA,2901396,84458,63812,20646
2016,CANAKKALE,519793,25116,20024,5092
2016,CANKIRI,183880,13371,13088,283
2016,CORUM,527863,16688,20420,-3732
2016,DENIZLI,1005687,28170,24794,3376
2016,DIYARBAKIR,1673119,39177,55604,-16427
2016,EDIRNE,401701,16623,17190,-567
2016,ELAZIG,578789,18990,20519,-1529
2016,ERZINCAN,226032,12666,12748,-82
2016,ERZURUM,762021,26957,36340,-9383
2016,ESKISEHIR,844842,36687,25785,10902
2016,GAZIANTEP,1974244,45726,50003,-4277
2016,GIRESUN,444467,35376,20284,15092
2016,GUMUSHANE,172034,26681,18343,8338
2016,HAKKARI,267813,5945,16067,-10122
2016,HATAY,1555165,34195,37627,-3432
2016,ISPARTA,427324,19899,17240,2659
2016,MERSIN,1773852,54962,52763,2199
2016,ISTANBUL,14804116,369582,440889,-71307
